cond_id,condition,SOH,resistance,RUL,T,c_rate,dod,selected,cluster,grade,battery_id
16,T10_C1.0_D0.9,0.8295619763228188,0.1711973645604474,241,10,1.0,0.9,0,1,二级梯次,SIM-NCM-06-02
17,T10_C1.0_D0.9,0.82994270048512,0.1696196033944616,237,10,1.0,0.9,0,1,二级梯次,SIM-NCM-06-03
18,T10_C2.0_D0.7,0.8308228836040068,0.103720984475659,257,10,2.0,0.7,0,1,二级梯次,SIM-NCM-07-01
19,T10_C2.0_D0.7,0.8475994479952048,0.0945140827480566,290,10,2.0,0.7,0,0,二级梯次,SIM-NCM-07-02
20,T10_C2.0_D0.7,0.8219319928525718,0.1063452451001644,242,10,2.0,0.7,0,1,二级梯次,SIM-NCM-07-03
21,T10_C2.0_D0.8,0.8236458707579916,0.1453560720831108,180,10,2.0,0.8,0,1,二级梯次,SIM-NCM-08-01
22,T10_C2.0_D0.8,0.8403477790204467,0.1322658466105216,204,10,2.0,0.8,0,0,二级梯次,SIM-NCM-08-02
23,T10_C2.0_D0.8,0.8477359282257466,0.1253104233985124,216,10,2.0,0.8,0,0,二级梯次,SIM-NCM-08-03
24,T10_C2.0_D0.9,0.8445255369445911,0.1644607917878704,164,10,2.0,0.9,0,0,二级梯次,SIM-NCM-09-01
25,T10_C2.0_D0.9,0.8377449281683809,0.1702918030727788,153,10,2.0,0.9,0,0,二级梯次,SIM-NCM-09-02
26,T10_C2.0_D0.9,0.8291586748431977,0.1783692013942232,145,10,2.0,0.9,0,1,二级梯次,SIM-NCM-09-03
27,T23_C0.5_D0.7,0.8429504343974037,0.0979089847030055,358,23,0.5,0.7,0,0,二级梯次,SIM-NCM-10-01
28,T23_C0.5_D0.7,0.8362822401638024,0.1016130591702588,337,23,0.5,0.7,0,0,二级梯次,SIM-NCM-10-02
29,T23_C0.5_D0.7,0.8316736033705475,0.106449043023937,324,23,0.5,0.7,0,1,二级梯次,SIM-NCM-10-03
30,T23_C0.5_D0.8,0.8395963977552587,0.1326844950338929,255,23,0.5,0.8,0,0,二级梯次,SIM-NCM-11-01
31,T23_C0.5_D0.8,0.827516785407208,0.1406478239225947,234,23,0.5,0.8,0,1,二级梯次,SIM-NCM-11-02
32,T23_C0.5_D0.8,0.8315509457082026,0.1325908150368995,243,23,0.5,0.8,0,1,二级梯次,SIM-NCM-11-03
33,T23_C0.5_D0.9,0.8439719155359777,0.1569267943479463,202,23,0.5,0.9,0,0,二级梯次,SIM-NCM-12-01
34,T23_C0.5_D0.9,0.8348887029740548,0.1703909489539986,190,23,0.5,0.9,0,1,二级梯次,SIM-NCM-12-02
35,T23_C0.5_D0.9,0.8461678824314485,0.1625778545528189,207,23,0.5,0.9,0,0,二级梯次,SIM-NCM-12-03
36,T23_C1.0_D0.7,0.8330048005374308,0.106103219328962,234,23,1.0,0.7,0,1,二级梯次,SIM-NCM-13-01
37,T23_C1.0_D0.7,0.8436983850315268,0.0996400285754588,251,23,1.0,0.7,0,0,二级梯次,SIM-NCM-13-02
38,T23_C1.0_D0.7,0.8450853180484905,0.0959556709400756,254,23,1.0,0.7,1,0,二级梯次,SIM-NCM-13-03
39,T23_C1.0_D0.8,0.8496166474094442,0.125242302246532,194,23,1.0,0.8,0,0,二级梯次,SIM-NCM-14-01
40,T23_C1.0_D0.8,0.8343420025099624,0.1387158242376029,175,23,1.0,0.8,0,1,二级梯次,SIM-NCM-14-02
41,T23_C1.0_D0.8,0.8378125538728699,0.1312283672509231,177,23,1.0,0.8,0,0,二级梯次,SIM-NCM-14-03
42,T23_C1.0_D0.9,0.8280305147001649,0.1747853790290895,128,23,1.0,0.9,0,1,二级梯次,SIM-NCM-15-01
43,T23_C1.0_D0.9,0.8253413553025873,0.1769425835510945,126,23,1.0,0.9,0,1,二级梯次,SIM-NCM-15-02
44,T23_C1.0_D0.9,0.8258321108034357,0.173294866536582,128,23,1.0,0.9,0,1,二级梯次,SIM-NCM-15-03
45,T23_C2.0_D0.7,0.8367269851824789,0.1024354192907726,147,23,2.0,0.7,0,0,二级梯次,SIM-NCM-16-01
46,T23_C2.0_D0.7,0.8314931257435881,0.1058476096463707,141,23,2.0,0.7,0,1,二级梯次,SIM-NCM-16-02
47,T23_C2.0_D0.7,0.8433222528412028,0.0977706265769561,153,23,2.0,0.7,0,0,二级梯次,SIM-NCM-16-03
48,T23_C2.0_D0.8,0.8243544751177979,0.1503568040957039,100,23,2.0,0.8,0,1,二级梯次,SIM-NCM-17-01
49,T23_C2.0_D0.8,0.8218298896596954,0.1455770662059,98,23,2.0,0.8,0,1,二级梯次,SIM-NCM-17-02
50,T23_C2.0_D0.8,0.8459074747618309,0.1328732969872961,116,23,2.0,0.8,0,0,二级梯次,SIM-NCM-17-03
51,T23_C2.0_D0.9,0.8457564894478984,0.1579231693412208,90,23,2.0,0.9,0,0,二级梯次,SIM-NCM-18-01
52,T23_C2.0_D0.9,0.8212314517740799,0.1813549246633905,76,23,2.0,0.9,0,1,二级梯次,SIM-NCM-18-02
53,T23_C2.0_D0.9,0.827197963958107,0.1817942017234992,79,23,2.0,0.9,0,1,二级梯次,SIM-NCM-18-03
54,T35_C0.5_D0.7,0.8337388915373701,0.1069913145138744,176,35,0.5,0.7,0,1,二级梯次,SIM-NCM-19-01
55,T35_C0.5_D0.7,0.8434960655428136,0.0964373119149647,186,35,0.5,0.7,1,0,二级梯次,SIM-NCM-19-02
56,T35_C0.5_D0.7,0.8483384871309438,0.0964527226850907,194,35,0.5,0.7,1,0,二级梯次,SIM-NCM-19-03
57,T35_C0.5_D0.8,0.8379671764391963,0.1387000891471067,135,35,0.5,0.8,0,0,二级梯次,SIM-NCM-20-01
58,T35_C0.5_D0.8,0.8464535361515018,0.1282433916636546,141,35,0.5,0.8,0,0,二级梯次,SIM-NCM-20-02
59,T35_C0.5_D0.8,0.843379936685243,0.1240965557641237,141,35,0.5,0.8,0,0,二级梯次,SIM-NCM-20-03
60,T35_C0.5_D0.9,0.8321130059319857,0.1685563224192247,99,35,0.5,0.9,0,1,二级梯次,SIM-NCM-21-01
61,T35_C0.5_D0.9,0.8459952811439742,0.1550539579101731,111,35,0.5,0.9,0,0,二级梯次,SIM-NCM-21-02
62,T35_C0.5_D0.9,0.8401586424580029,0.1643269238501427,105,35,0.5,0.9,0,0,二级梯次,SIM-NCM-21-03
63,T35_C1.0_D0.7,0.828475605623298,0.1093388333808352,118,35,1.0,0.7,0,1,二级梯次,SIM-NCM-22-01
64,T35_C1.0_D0.7,0.8459603837227311,0.0967729667186618,135,35,1.0,0.7,1,0,二级梯次,SIM-NCM-22-02
65,T35_C1.0_D0.7,0.8389773011417498,0.100141462890763,129,35,1.0,0.7,0,0,二级梯次,SIM-NCM-22-03
66,T35_C1.0_D0.8,0.8359566739089312,0.13713453362681,92,35,1.0,0.8,0,0,二级梯次,SIM-NCM-23-01
67,T35_C1.0_D0.8,0.8400898678127771,0.127849429096405,95,35,1.0,0.8,0,0,二级梯次,SIM-NCM-23-02
68,T35_C1.0_D0.8,0.8387126670646937,0.1341883743154031,95,35,1.0,0.8,0,0,二级梯次,SIM-NCM-23-03
69,T35_C1.0_D0.9,0.8384075914717584,0.1627294771958829,74,35,1.0,0.9,0,0,二级梯次,SIM-NCM-24-01
70,T35_C1.0_D0.9,0.8313997349191672,0.1694045557347406,70,35,1.0,0.9,0,1,二级梯次,SIM-NCM-24-02
71,T35_C1.0_D0.9,0.847265252515899,0.1627533421006127,78,35,1.0,0.9,0,0,二级梯次,SIM-NCM-24-03
72,T35_C2.0_D0.7,0.8229285665822352,0.1065770348478725,70,35,2.0,0.7,0,1,二级梯次,SIM-NCM-25-01
73,T35_C2.0_D0.7,0.8367374181871525,0.1017981427130969,78,35,2.0,0.7,0,0,二级梯次,SIM-NCM-25-02
74,T35_C2.0_D0.7,0.8318238815236239,0.1027342787937082,74,35,2.0,0.7,0,1,二级梯次,SIM-NCM-25-03
75,T35_C2.0_D0.8,0.8281328494123984,0.1386150988780111,54,35,2.0,0.8,0,1,二级梯次,SIM-NCM-26-01
76,T35_C2.0_D0.8,0.8446816602881918,0.1277310683004414,61,35,2.0,0.8,0,0,二级梯次,SIM-NCM-26-02
77,T35_C2.0_D0.8,0.8426332778446354,0.1276590927533448,61,35,2.0,0.8,0,0,二级梯次,SIM-NCM-26-03
78,T35_C2.0_D0.9,0.8372687331351173,0.1640689476772716,45,35,2.0,0.9,0,0,二级梯次,SIM-NCM-27-01
79,T35_C2.0_D0.9,0.8181539721722492,0.1839002530775883,39,35,2.0,0.9,0,1,二级梯次,SIM-NCM-27-02
80,T35_C2.0_D0.9,0.8310704135379717,0.1729786739102658,43,35,2.0,0.9,0,1,二级梯次,SIM-NCM-27-03
81,T45_C0.5_D0.7,0.8241228364087282,0.1087750345419471,101,45,0.5,0.7,0,1,二级梯次,SIM-NCM-28-01
82,T45_C0.5_D0.7,0.8249151882577153,0.1094381331249377,103,45,0.5,0.7,0,1,二级梯次,SIM-NCM-28-02
83,T45_C0.5_D0.7,0.8213080260320431,0.1119126058633283,100,45,0.5,0.7,0,1,二级梯次,SIM-NCM-28-03
84,T45_C0.5_D0.8,0.8323383842914288,0.1378551817091897,82,45,0.5,0.8,0,1,二级梯次,SIM-NCM-29-01
85,T45_C0.5_D0.8,0.8340161005503035,0.135454812013064,84,45,0.5,0.8,0,1,二级梯次,SIM-NCM-29-02
86,T45_C0.5_D0.8,0.8332518546438671,0.1385378562648674,82,45,0.5,0.8,0,1,二级梯次,SIM-NCM-29-03
87,T45_C0.5_D0.9,0.8277427442404062,0.1796154957864462,61,45,0.5,0.9,0,1,二级梯次,SIM-NCM-30-01
88,T45_C0.5_D0.9,0.842339854756752,0.1562278601148814,68,45,0.5,0.9,0,0,二级梯次,SIM-NCM-30-02
89,T45_C0.5_D0.9,0.833816972017412,0.170104031202735,64,45,0.5,0.9,0,1,二级梯次,SIM-NCM-30-03
90,T45_C1.0_D0.7,0.828512549549957,0.1034609174989117,75,45,1.0,0.7,0,1,二级梯次,SIM-NCM-31-01
91,T45_C1.0_D0.7,0.832177700526376,0.1053557298091484,77,45,1.0,0.7,0,1,二级梯次,SIM-NCM-31-02
92,T45_C1.0_D0.7,0.8309856205392373,0.1059752972645609,77,45,1.0,0.7,0,1,二级梯次,SIM-NCM-31-03
93,T45_C1.0_D0.8,0.8472078402451428,0.1320246083007918,64,45,1.0,0.8,0,0,二级梯次,SIM-NCM-32-01
94,T45_C1.0_D0.8,0.8443326589043676,0.126812865263921,63,45,1.0,0.8,0,0,二级梯次,SIM-NCM-32-02
95,T45_C1.0_D0.8,0.820905598236753,0.1455760933082981,53,45,1.0,0.8,0,1,二级梯次,SIM-NCM-32-03
96,T45_C1.0_D0.9,0.8384159817753793,0.1679813700802321,47,45,1.0,0.9,0,0,二级梯次,SIM-NCM-33-01
97,T45_C1.0_D0.9,0.8446706642908711,0.1654490571915225,49,45,1.0,0.9,0,0,二级梯次,SIM-NCM-33-02
98,T45_C1.0_D0.9,0.8329766678680667,0.1759362657062368,45,45,1.0,0.9,0,1,二级梯次,SIM-NCM-33-03
99,T45_C2.0_D0.7,0.822532415805471,0.1115771976456447,44,45,2.0,0.7,0,1,二级梯次,SIM-NCM-34-01
100,T45_C2.0_D0.7,0.819046591870772,0.1093126323253511,43,45,2.0,0.7,0,1,二级梯次,SIM-NCM-34-02
101,T45_C2.0_D0.7,0.8460775416223429,0.0975498777113059,52,45,2.0,0.7,1,0,二级梯次,SIM-NCM-34-03
102,T45_C2.0_D0.8,0.8318603889857393,0.1404754281958965,36,45,2.0,0.8,0,1,二级梯次,SIM-NCM-35-01
103,T45_C2.0_D0.8,0.8253860091790048,0.148769357371718,33,45,2.0,0.8,0,1,二级梯次,SIM-NCM-35-02
104,T45_C2.0_D0.8,0.8440728884644383,0.12772050565347,39,45,2.0,0.8,0,0,二级梯次,SIM-NCM-35-03
105,T45_C2.0_D0.9,0.8351055353022634,0.1682180275384509,28,45,2.0,0.9,0,1,二级梯次,SIM-NCM-36-01
106,T45_C2.0_D0.9,0.83473698219806,0.1664485119020045,28,45,2.0,0.9,0,1,二级梯次,SIM-NCM-36-02
107,T45_C2.0_D0.9,0.8366391407561313,0.1635565709511846,28,45,2.0,0.9,0,0,二级梯次,SIM-NCM-36-03
108,T23_C0.5_D0.8,0.8364235537142628,0.2810638099500834,252,23,0.5,0.8,0,2,二级梯次,SIM-LCO-37-01
109,T23_C0.5_D0.8,0.8264935204908378,0.2915651836144123,231,23,0.5,0.8,0,2,二级梯次,SIM-LCO-37-02
110,T23_C0.5_D0.8,0.8359184057652101,0.2764013839850525,250,23,0.5,0.8,0,2,二级梯次,SIM-LCO-37-03
111,T23_C1.0_D0.8,0.8274046221532605,0.2845422910255419,165,23,1.0,0.8,0,2,二级梯次,SIM-LCO-38-01
112,T23_C1.0_D0.8,0.8385672148025952,0.2790776558552961,180,23,1.0,0.8,0,2,二级梯次,SIM-LCO-38-02
113,T23_C1.0_D0.8,0.8316629070549353,0.2721312681143109,173,23,1.0,0.8,0,2,二级梯次,SIM-LCO-38-03
114,T23_C2.0_D0.8,0.8409892223140154,0.2667861355368411,114,23,2.0,0.8,0,2,二级梯次,SIM-LCO-39-01
115,T23_C2.0_D0.8,0.8357496382945363,0.2769345893667133,109,23,2.0,0.8,0,2,二级梯次,SIM-LCO-39-02
116,T23_C2.0_D0.8,0.8268211929450063,0.2811574184176503,101,23,2.0,0.8,0,2,二级梯次,SIM-LCO-39-03
117,T35_C0.5_D0.8,0.8488409432263249,0.26483377081711,144,35,0.5,0.8,0,2,二级梯次,SIM-LCO-40-01
118,T35_C0.5_D0.8,0.8181791852373191,0.2850790878188526,117,35,0.5,0.8,0,2,二级梯次,SIM-LCO-40-02
119,T35_C0.5_D0.8,0.831666265795199,0.2736758939936972,128,35,0.5,0.8,0,2,二级梯次,SIM-LCO-40-03
120,T35_C1.0_D0.8,0.8377955782862031,0.2694093414837792,94,35,1.0,0.8,0,2,二级梯次,SIM-LCO-41-01
121,T35_C1.0_D0.8,0.8431494700337023,0.2729606262918647,98,35,1.0,0.8,0,2,二级梯次,SIM-LCO-41-02
122,T35_C1.0_D0.8,0.8305071882317483,0.2882378478056975,89,35,1.0,0.8,0,2,二级梯次,SIM-LCO-41-03
123,T35_C2.0_D0.8,0.8227698358224497,0.2909222335065848,52,35,2.0,0.8,0,2,二级梯次,SIM-LCO-42-01
124,T35_C2.0_D0.8,0.8469024172382486,0.2798660869327387,62,35,2.0,0.8,0,2,二级梯次,SIM-LCO-42-02
125,T35_C2.0_D0.8,0.8377152724185919,0.273627711926897,58,35,2.0,0.8,0,2,二级梯次,SIM-LCO-42-03
126,T45_C0.5_D0.8,0.8247858252108179,0.2854380756448624,77,45,0.5,0.8,0,2,二级梯次,SIM-LCO-43-01
127,T45_C0.5_D0.8,0.8292958662042091,0.2755949148114933,79,45,0.5,0.8,0,2,二级梯次,SIM-LCO-43-02
128,T45_C0.5_D0.8,0.8453585494134498,0.2683078913686895,90,45,0.5,0.8,0,2,二级梯次,SIM-LCO-43-03
129,T45_C1.0_D0.8,0.831001969380723,0.2800724481491993,58,45,1.0,0.8,0,2,二级梯次,SIM-LCO-44-01
130,T45_C1.0_D0.8,0.8282374162073441,0.2889466585538061,55,45,1.0,0.8,0,2,二级梯次,SIM-LCO-44-02
131,T45_C1.0_D0.8,0.8381148908268612,0.2737743694225893,60,45,1.0,0.8,0,2,二级梯次,SIM-LCO-44-03
132,T45_C2.0_D0.8,0.821946438515584,0.2809199591630698,33,45,2.0,0.8,0,2,二级梯次,SIM-LCO-45-01
133,T45_C2.0_D0.8,0.8403850883549597,0.264735366829421,38,45,2.0,0.8,0,2,二级梯次,SIM-LCO-45-02
134,T45_C2.0_D0.8,0.821398857691689,0.287592128677851,33,45,2.0,0.8,0,2,二级梯次,SIM-LCO-45-03
135,T23_C1.0_D0.8,0.8323912319905283,0.0313871820966728,174,23,1.0,0.8,0,1,二级梯次,SIM-LFP-46-01
136,T23_C1.0_D0.8,0.8210135067264087,0.0308308969509063,157,23,1.0,0.8,0,1,二级梯次,SIM-LFP-46-02
137,T23_C1.0_D0.8,0.840858184103467,0.0300134841329082,182,23,1.0,0.8,0,0,二级梯次,SIM-LFP-46-03
138,T23_C2.0_D0.8,0.8216577218008297,0.031750697958789,96,23,2.0,0.8,0,1,二级梯次,SIM-LFP-47-01
139,T23_C2.0_D0.8,0.8267318062844382,0.0303365669605834,101,23,2.0,0.8,0,1,二级梯次,SIM-LFP-47-02
140,T23_C2.0_D0.8,0.8340929462243928,0.0311243917514307,107,23,2.0,0.8,0,1,二级梯次,SIM-LFP-47-03
141,T23_C3.0_D0.8,0.8391262284248868,0.0300285716538458,80,23,3.0,0.8,0,0,二级梯次,SIM-LFP-48-01
142,T23_C3.0_D0.8,0.8220426416766429,0.0322962062390511,69,23,3.0,0.8,0,1,二级梯次,SIM-LFP-48-02
143,T23_C3.0_D0.8,0.8311801237009846,0.0304687732671752,76,23,3.0,0.8,0,1,二级梯次,SIM-LFP-48-03
144,T35_C1.0_D0.8,0.8358430952533127,0.0301087495189128,93,35,1.0,0.8,0,0,二级梯次,SIM-LFP-49-01
145,T35_C1.0_D0.8,0.8322945018136034,0.0323887628005916,91,35,1.0,0.8,0,1,二级梯次,SIM-LFP-49-02
146,T35_C1.0_D0.8,0.8480067525025937,0.0314420602186864,101,35,1.0,0.8,0,0,二级梯次,SIM-LFP-49-03
147,T35_C2.0_D0.8,0.824532395388804,0.0318088193820873,53,35,2.0,0.8,0,1,二级梯次,SIM-LFP-50-01
148,T35_C2.0_D0.8,0.8371612956731538,0.0303943322531707,59,35,2.0,0.8,0,0,二级梯次,SIM-LFP-50-02
149,T35_C2.0_D0.8,0.8412461397319484,0.0289597944893207,60,35,2.0,0.8,0,0,二级梯次,SIM-LFP-50-03
150,T35_C3.0_D0.8,0.8204455862320256,0.0315074675535391,37,35,3.0,0.8,0,1,二级梯次,SIM-LFP-51-01
151,T35_C3.0_D0.8,0.8342584323110065,0.0317775083978689,41,35,3.0,0.8,0,1,二级梯次,SIM-LFP-51-02
152,T35_C3.0_D0.8,0.8492990054591275,0.0298525135717494,45,35,3.0,0.8,0,0,二级梯次,SIM-LFP-51-03
