cycle,SOH,resistance,T,c_rate,dod,condition,cond_id,stage,RUL,grade,battery_id,soh_t,capacity_Ah,q_ref_Ah,ccct_min,cvct_min,ce,phase_label,knee_cycle,rul_cycles,is_eol,reached_eol,chemistry,cell_format,rated_capacity_Ah,nominal_voltage_V,discharge_rate_C,soc_window,charging_strategy,v_upper_V,v_lower_V,eol_threshold_pct,batch_id,is_abnormal,source_id,source_ref
1502,0.7008891918390973,0.1720786270368885,10,1.0,0.7,T10_C1.0_D0.7,10,失效临界,,,SIM-NCM-04-02,0.6999725838010185,3.419543375740462,3.41507136935021,49.253099643999846,45.8718532699555,0.9967561207095704,3,1028,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
1587,0.6999477767084233,0.1703042449276447,10,1.0,0.7,T10_C1.0_D0.7,11,失效临界,,,SIM-NCM-04-03,0.6998290849411598,3.4071754338204263,3.4065976711828783,44.919364436056725,46.42543470073678,0.9967300275978832,3,1183,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
1155,0.7005355591612641,0.2301602906418004,10,1.0,0.8,T10_C1.0_D0.8,12,失效临界,,,SIM-NCM-05-01,0.6996614999999603,3.447079396754962,3.442778471145872,42.60227041418419,52.85035003880925,0.9966646635017552,3,834,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
1137,0.6987689208194124,0.2416355217192227,10,1.0,0.8,T10_C1.0_D0.8,13,失效临界,,,SIM-NCM-05-02,0.6998924999999613,3.525978486376644,3.531648051665424,47.93128118575768,51.40599582168816,0.9967113527417132,3,802,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
1180,0.6988476557037366,0.2254639773280548,10,1.0,0.8,T10_C1.0_D0.8,14,失效临界,,,SIM-NCM-05-03,0.6996999999999589,3.3721408155884847,3.37625362181566,47.33392420549952,50.74385085810083,0.9960296168735684,3,880,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
868,0.7010886773913466,0.2930215271312534,10,1.0,0.9,T10_C1.0_D0.9,15,失效临界,,,SIM-NCM-06-01,0.6997738878448237,3.453759470906976,3.447282448819771,45.39131694470712,49.72924523645229,0.997319974516248,3,605,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
895,0.7002040782910233,0.3121815427801705,10,1.0,0.9,T10_C1.0_D0.9,16,失效临界,,,SIM-NCM-06-02,0.6996242237809388,3.505628250550804,3.502725162130178,45.17254004482619,51.9159305132766,0.99651888691106,3,654,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
900,0.6989367228181815,0.2938532259871958,10,1.0,0.9,T10_C1.0_D0.9,17,失效临界,,,SIM-NCM-06-03,0.6995743357596437,3.3669497154399126,3.37002125345148,46.94654770845062,49.6792616757588,0.9966627822891492,3,663,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
956,0.6984387755900121,0.1808967332740561,10,2.0,0.7,T10_C2.0_D0.7,18,失效临界,,,SIM-NCM-07-01,0.6997681813258226,3.4394537234753253,3.4460003667429198,47.11788570440164,49.95237348736642,0.9964807219314982,3,699,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
917,0.6994585522499263,0.1723380879691257,10,2.0,0.7,T10_C2.0_D0.7,19,失效临界,,,SIM-NCM-07-02,0.6996279297755255,3.4840417786378954,3.484885457471547,48.72721154535225,50.67612979610175,0.9965808234961132,3,627,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
975,0.6989540285105086,0.1753364960986461,10,2.0,0.7,T10_C2.0_D0.7,20,失效临界,,,SIM-NCM-07-03,0.6995344287419893,3.383353283843713,3.386162766225993,45.5386743741365,53.17770193817224,0.99644513504577,3,733,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
721,0.6988508048407653,0.2413050257224035,10,2.0,0.8,T10_C2.0_D0.8,21,失效临界,,,SIM-NCM-08-01,0.6999106096277214,3.4107569781382843,3.4159293790964527,45.5804394579694,54.9391194164508,0.9966264333278736,3,541,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
694,0.7006783347191183,0.2345357745946446,10,2.0,0.8,T10_C2.0_D0.8,22,失效临界,,,SIM-NCM-08-02,0.6993461781724737,3.4680810983586627,3.4614874494465337,45.10514304728457,47.40436183120941,0.996613307088261,3,490,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
678,0.7006419011631758,0.2379521800893396,10,2.0,0.8,T10_C2.0_D0.8,23,失效临界,,,SIM-NCM-08-03,0.6998478950215798,3.454238558106204,3.450324023983822,49.23361421757133,50.96156162463661,0.9968183302705966,3,462,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
523,0.7001006575528759,0.2823021559412544,10,2.0,0.9,T10_C2.0_D0.9,24,失效临界,,,SIM-NCM-09-01,0.6994002743722874,3.4375275398942025,3.4340886251527603,47.339892394209485,59.40363398506235,0.9962809961046354,3,359,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
535,0.6993216321943719,0.2934917903553072,10,2.0,0.9,T10_C2.0_D0.9,25,失效临界,,,SIM-NCM-09-02,0.6998878651681152,3.3138574602315347,3.3165406538836173,46.26690565561476,51.2776767869608,0.9968728260513532,3,382,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
545,0.6998781834758734,0.2978511507214572,10,2.0,0.9,T10_C2.0_D0.9,26,失效临界,,,SIM-NCM-09-03,0.6997253349028395,3.435799924542516,3.435049569512033,46.2978847321899,50.58609852245416,0.9964886584336212,3,400,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
1178,0.7007851885163942,0.1789061664647694,23,0.5,0.7,T23_C0.5_D0.7,27,失效临界,,,SIM-NCM-10-01,0.6999474749753245,3.4195974256032766,3.415509663596634,43.935141466820056,48.10367536348471,0.9968848361570168,3,820,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
1205,0.6996411579314963,0.1771096026794923,23,0.5,0.7,T23_C0.5_D0.7,28,失效临界,,,SIM-NCM-10-02,0.6996156400373518,3.46729496566692,3.467168503601476,47.854401652620815,51.27300343882426,0.996424977992429,3,868,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
1220,0.6982340766505706,0.1796034111599158,23,0.5,0.7,T23_C0.5_D0.7,29,失效临界,,,SIM-NCM-10-03,0.6997262516833427,3.430259179599482,3.4375898832630574,49.50599210841448,55.85845846534653,0.9965340709027368,3,896,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
888,0.6989362625560117,0.2296121651198518,23,0.5,0.8,T23_C0.5_D0.8,30,失效临界,,,SIM-NCM-11-01,0.6997724275214139,3.476370098371716,3.480529016772086,49.49934265969262,46.194148370533725,0.9966255005871748,3,633,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
914,0.7017866575833401,0.2253598942357474,23,0.5,0.8,T23_C0.5_D0.8,31,失效临界,,,SIM-NCM-11-02,0.6995745839810651,3.3774888564678345,3.366842809181757,46.22477109477265,56.42513465454402,0.9965190235220492,3,680,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
903,0.6992772670669469,0.2383361698096101,23,0.5,0.8,T23_C0.5_D0.8,32,失效临界,,,SIM-NCM-11-03,0.6996240448661524,3.370074337626649,3.371745587382648,46.47161088420201,50.89081132062855,0.9965702774811488,3,660,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
675,0.7000837279866569,0.2959299104419857,23,0.5,0.9,T23_C0.5_D0.9,33,失效临界,,,SIM-NCM-12-01,0.6996052165703046,3.206391862815664,3.2042002747950877,50.283873154224665,53.149439921389735,0.9964185407852132,3,473,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,2,True,SIM,Str24;Ver22;Sto19;SIM
689,0.6989516635770561,0.2982347894331318,23,0.5,0.9,T23_C0.5_D0.9,34,失效临界,,,SIM-NCM-12-02,0.6997333986839942,3.2668891221334904,3.270542939772576,47.40716283974485,48.56307705140801,0.9967819878861962,3,499,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
669,0.7001837951921999,0.2873325708442548,23,0.5,0.9,T23_C0.5_D0.9,35,失效临界,,,SIM-NCM-12-03,0.6996052165703043,3.447516626211413,3.4446678607411867,49.04827614466456,46.54131588872704,0.9964956355602224,3,462,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
850,0.6984910926875096,0.1773010571603035,23,1.0,0.7,T23_C1.0_D0.7,36,失效临界,,,SIM-NCM-13-01,0.6997482037656182,3.532464942719611,3.5388225052698177,47.242107006295306,48.70948922030276,0.996493265100822,3,616,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
829,0.7010122649763925,0.1796125726620652,23,1.0,0.7,T23_C1.0_D0.7,37,失效临界,,,SIM-NCM-13-02,0.6999047479763765,3.407268552812245,3.4018854689000317,48.359785371970304,52.61509231597192,0.9964720708580376,3,578,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
827,0.6997647643866832,0.1739472334756659,23,1.0,0.7,T23_C1.0_D0.7,38,失效临界,,,SIM-NCM-13-03,0.6994872967476877,3.445102365749209,3.443736328949171,48.67528430565549,49.66420854558531,0.9964087752844588,3,573,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
605,0.7008823013124817,0.2353980061105274,23,1.0,0.8,T23_C1.0_D0.8,39,失效临界,,,SIM-NCM-14-01,0.699770000000005,3.485274852842119,3.4797437161792315,47.18642230113104,50.84235082173205,0.996538658734382,3,411,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
628,0.6990241450492661,0.2368307190726284,23,1.0,0.8,T23_C1.0_D0.8,40,失效临界,,,SIM-NCM-14-02,0.6997000000000075,3.435263079480275,3.438584480573226,48.71011737184461,53.08536773464537,0.9967917997453885,3,453,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
625,0.7010089999029971,0.2418150023095501,23,1.0,0.8,T23_C1.0_D0.8,41,失效临界,,,SIM-NCM-14-03,0.6999100000000072,3.425794923071052,3.4204241670769924,44.16109834888722,55.76382913810667,0.996928080812368,3,448,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
489,0.699295171143194,0.2916553437431865,23,1.0,0.9,T23_C1.0_D0.9,42,失效临界,,,SIM-NCM-15-01,0.6994927008156452,3.4688170967453704,3.469796932347257,48.66097570328972,52.90702243882259,0.9968020595813084,3,361,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
491,0.6995958842931586,0.3010102278529293,23,1.0,0.9,T23_C1.0_D0.9,43,失效临界,,,SIM-NCM-15-02,0.6996741118021735,3.4729198277802342,3.473308163208208,45.27822883164535,48.97512385000043,0.9966847680089724,3,365,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
490,0.6997561396278755,0.2828000317471031,23,1.0,0.9,T23_C1.0_D0.9,44,失效临界,,,SIM-NCM-15-03,0.6990391733493241,3.446880743346551,3.443349088361027,44.888753876208725,58.9450409636558,0.9964869536817212,3,362,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
510,0.7007171297875462,0.1762899539494096,23,2.0,0.7,T23_C2.0_D0.7,45,失效临界,,,SIM-NCM-16-01,0.6997766814198437,3.388269601343167,3.3837221277900587,45.83813673497139,52.61338370163073,0.99660825296887,3,363,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
517,0.7000973724733724,0.1735936101152705,23,2.0,0.7,T23_C2.0_D0.7,46,失效临界,,,SIM-NCM-16-02,0.6998616823594195,3.4088400405844266,3.4076924432226847,45.7665129556761,53.29934791636676,0.996709529776819,3,376,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
504,0.700030469517088,0.1770682083637261,23,2.0,0.7,T23_C2.0_D0.7,47,失效临界,,,SIM-NCM-16-03,0.6992666757823912,3.374595590299853,3.370913614898433,48.69482889563909,49.15001263839848,0.9967193718657534,3,351,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
388,0.6987948906666398,0.2333302394892148,23,2.0,0.8,T23_C2.0_D0.8,48,失效临界,,,SIM-NCM-17-01,0.6989698905356114,3.595260769858198,3.59616113443162,52.59567435361489,54.55981793982933,0.9970290551826072,3,288,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
390,0.6991010275570877,0.2424970196474591,23,2.0,0.8,T23_C2.0_D0.8,49,失效临界,,,SIM-NCM-17-02,0.699197943648842,3.466264501546476,3.4667450283877117,48.88343589684977,49.61890870670675,0.9962294318038096,3,292,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
368,0.7000746258373448,0.2411306507029002,23,2.0,0.8,T23_C2.0_D0.8,50,失效临界,,,SIM-NCM-17-03,0.6994259967620726,3.3439455888818506,3.340847375841373,46.61063102792313,53.287426253838944,0.9967420784775056,3,252,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
279,0.6981659867667632,0.2954884360558786,23,2.0,0.9,T23_C2.0_D0.9,51,失效临界,,,SIM-NCM-18-01,0.6993190092396452,3.4757849725979666,3.481525238179896,44.63855875756902,47.04048008986023,0.9969260461923648,3,189,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
297,0.700296343601758,0.2918729246459791,23,2.0,0.9,T23_C2.0_D0.9,52,失效临界,,,SIM-NCM-18-02,0.6984324805199605,3.328049247695446,3.319191528839911,50.49424024861448,48.58433897071023,0.9964939187882424,3,221,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
292,0.7011808353277068,0.3030971949022613,23,2.0,0.9,T23_C2.0_D0.9,53,失效临界,,,SIM-NCM-18-03,0.6994667640262611,3.3806607450063497,3.3723965522746253,44.51738479434545,49.83683984441576,0.997127209775626,3,213,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
627,0.6991463537091352,0.1791135190500515,35,0.5,0.7,T35_C0.5_D0.7,54,失效临界,,,SIM-NCM-19-01,0.6993981038002711,3.5331895462202194,3.534461784551353,52.87469432046559,49.29283235753435,0.9967892566640196,3,451,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
615,0.7002674144156666,0.1698011570249666,35,0.5,0.7,T35_C0.5_D0.7,55,失效临界,,,SIM-NCM-19-02,0.6993981038002705,3.4357882535226243,3.431523072622363,48.7472428433388,45.64198274723682,0.9970099601634032,3,429,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
605,0.6987756057579733,0.1786231556082813,35,0.5,0.7,T35_C0.5_D0.7,56,失效临界,,,SIM-NCM-19-03,0.6995382118851917,3.3936894730967038,3.39739316332964,46.40720556601432,48.48130800678222,0.996834307865534,3,411,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
458,0.6989153094687639,0.2325289488014827,35,0.5,0.8,T35_C0.5_D0.8,57,失效临界,,,SIM-NCM-20-01,0.6992778186705462,3.4913557901200667,3.493166665605934,46.62653868569527,49.50606088242024,0.9969401123335152,3,323,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
450,0.6985629038293949,0.2371037625426225,35,0.5,0.8,T35_C0.5_D0.8,58,失效临界,,,SIM-NCM-20-02,0.6996537213972072,3.3317173517761924,3.3369198837148053,47.43136799532418,47.09749400281044,0.9969275152182068,3,309,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
450,0.69797442143392,0.2327914674678715,35,0.5,0.8,T35_C0.5_D0.8,59,失效临界,,,SIM-NCM-20-03,0.6996537213972072,3.4276304795353165,3.4358772283583185,47.37254189953595,51.018135703588754,0.997040224518165,3,309,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
355,0.6989703496395774,0.2927566185297038,35,0.5,0.9,T35_C0.5_D0.9,60,失效临界,,,SIM-NCM-21-01,0.6993424432371991,3.4554706629776697,3.457310166629186,46.865441005012336,44.99291687066203,0.9967400667278824,3,256,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
340,0.6997016224837634,0.2909973024115639,35,0.5,0.9,T35_C0.5_D0.9,61,失效临界,,,SIM-NCM-21-02,0.699707762261213,3.433565543734605,3.433595672760492,46.61520869681975,49.98457015476612,0.9967456651121672,3,229,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
348,0.7014284998252984,0.2894957219689869,35,0.5,0.9,T35_C0.5_D0.9,62,失效临界,,,SIM-NCM-21-03,0.6992206702291951,3.489190844142932,3.47820820113075,45.83990802550935,51.81732601615671,0.996697332275047,3,243,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
445,0.6984950565633782,0.1746853336188498,35,1.0,0.7,T35_C1.0_D0.7,63,失效临界,,,SIM-NCM-22-01,0.6992942255544171,3.447681602304409,3.4516261974760534,48.11699194940885,51.22269974835781,0.9964977398977446,3,327,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
425,0.6988806100800354,0.1832432801790396,35,1.0,0.7,T35_C1.0_D0.7,64,失效临界,,,SIM-NCM-22-02,0.6990959362207896,3.461624047099529,3.462690578544318,44.309743687178745,45.75189158025317,0.9966207212369378,3,290,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
431,0.7014131934297057,0.1771494138465656,35,1.0,0.7,T35_C1.0_D0.7,65,失效临界,,,SIM-NCM-22-03,0.6996908042216712,3.46579093404824,3.457280342918753,46.4351392229613,54.451909893089066,0.9966084567631002,3,302,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
321,0.6992724249616411,0.2376278426345561,35,1.0,0.8,T35_C1.0_D0.8,66,失效临界,,,SIM-NCM-23-01,0.6998189999999952,3.4787700241497643,3.4814891487591453,47.602686002135385,49.08611392908264,0.9968674629691482,3,229,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
318,0.6992531269717487,0.2332691692314683,35,1.0,0.8,T35_C1.0_D0.8,67,失效临界,,,SIM-NCM-23-02,0.6994199999999954,3.46413138216581,3.4649580786390746,47.51183482876268,48.32512301327833,0.9965484359191557,3,223,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
319,0.6987949529086727,0.2325427203653829,35,1.0,0.8,T35_C1.0_D0.8,68,失效临界,,,SIM-NCM-23-03,0.6987549999999954,3.444634442889083,3.444437499329673,49.81846264237448,51.08544920108242,0.996781808257958,3,224,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
241,0.7002786148487689,0.2959847009074133,35,1.0,0.9,T35_C1.0_D0.9,69,失效临界,,,SIM-NCM-24-01,0.6985765753336953,3.5283300581477195,3.519754389758237,46.675725634734334,51.17446429242892,0.9965709146450064,3,167,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
